product_id,generic_name,drug_class,indications,contraindications,common_side_effects,adult_dose,pediatric_dose,prescription_required,controlled_substance
P011,Amlodipine,Dihydropyridine calcium channel blocker,"Hypertension, angina","Severe hypotension, cardiogenic shock","Ankle swelling, flushing, headache",5 mg once daily,0.1-0.2 mg/kg once daily,Yes,No
P012,Atenolol,Beta blocker,"Hypertension, rate control, angina","Bradycardia, asthma/COPD, heart block","Fatigue, cold extremities, bradycardia",50 mg once daily,0.5-1 mg/kg/day if specialist advised,Yes,No
P013,Hydrochlorothiazide,Thiazide diuretic,"Hypertension, edema","Anuria, severe electrolyte depletion","Hypokalemia, dizziness, photosensitivity",25 mg once daily,1-2 mg/kg/day,Yes,No
P014,Losartan,ARB,"Hypertension, diabetic nephropathy","Pregnancy, bilateral renal artery stenosis","Dizziness, hyperkalemia",50 mg once daily,0.7 mg/kg once daily,Yes,No
P015,Enalapril,ACE inhibitor,"Hypertension, heart failure","Pregnancy, history of angioedema","Cough, dizziness, hyperkalemia",10-20 mg daily,0.08 mg/kg/day,Yes,No
P016,Metformin,Biguanide antidiabetic,Type 2 diabetes,"eGFR <30 mL/min, severe acidosis","Diarrhea, abdominal discomfort, metallic taste",500 mg twice daily with meals,500 mg once to twice daily for older children,Yes,No
P017,Glibenclamide,Sulfonylurea,Type 2 diabetes,"Type 1 diabetes, recurrent hypoglycemia","Hypoglycemia, weight gain",5 mg once or twice daily,Not routinely recommended,Yes,No
P018,Gliclazide,Sulfonylurea,Type 2 diabetes,"Type 1 diabetes, recurrent hypoglycemia","Hypoglycemia, dizziness",80 mg once or twice daily,Not routinely recommended,Yes,No
P019,Insulin soluble human,Short-acting insulin,"Type 1 diabetes, DKA management, uncontrolled hyperglycemia","Hypoglycemia, insulin allergy","Hypoglycemia, weight gain",Dose individualized by glucose profile,Dose individualized by weight and glucose profile,Yes,No
P020,Insulin isophane human,Intermediate-acting insulin,Basal insulin in diabetes,"Hypoglycemia, insulin allergy","Hypoglycemia, injection site reactions",Dose individualized once or twice daily,Dose individualized by weight and glucose profile,Yes,No
P021,Artemether/Lumefantrine,ACT antimalarial,Uncomplicated malaria,"Known hypersensitivity, caution in QT prolongation","Headache, nausea, dizziness",4 tablets twice daily for 3 days (adult regimen),Weight-band dosing for 3 days,Yes,No
P022,Quinine sulfate,Antimalarial alkaloid,Malaria when indicated by guidelines,"Tinnitus/quinine hypersensitivity, prolonged QT","Cinchonism, nausea, hypoglycemia",600 mg every 8 hours,10 mg/kg every 8 hours,Yes,No
P023,Sulfadoxine/Pyrimethamine,Antifolate antimalarial,Intermittent preventive treatment in pregnancy where indicated,"Sulfonamide allergy, severe folate deficiency","Rash, nausea, pruritus",3 tablets as single dose when indicated,Not routine for young infants,Yes,No
P024,Artesunate,Artemisinin derivative,Severe malaria (parenteral therapy),Known hypersensitivity,"Dizziness, delayed hemolysis (rare)","2.4 mg/kg IV/IM at 0, 12, 24 hours then daily",2.4 mg/kg IV/IM at same schedule,Yes,No
P025,Primaquine,8-aminoquinoline antimalarial,Radical cure of vivax/ovale malaria; gametocytocidal use,"G6PD deficiency, pregnancy","Abdominal pain, hemolysis in G6PD deficiency",15 mg daily as indicated by protocol,0.25 mg/kg as guided by protocol,Yes,No
P026,Ferrous sulfate/Folic acid,Iron/folate supplement,"Iron deficiency anemia, antenatal supplementation","Hemochromatosis, non-iron deficiency anemia","Constipation, dark stools, nausea",1 capsule once daily,Elemental iron 3 mg/kg/day plus folate as needed,No,No
P027,Multivitamin,Vitamin supplement,Nutritional supplementation,Hypervitaminosis A/D (excess use),"Nausea, mild GI upset",10 mL once daily,5 mL once daily,No,No
P028,Vitamin C,Ascorbic acid supplement,"Vitamin C deficiency, supplementation",History of kidney stones in high doses,"Heartburn, diarrhea",500 mg once daily,100-250 mg once daily,No,No
P029,Calcium carbonate/Vitamin D3,Calcium/vitamin D supplement,"Calcium supplementation, bone health","Hypercalcemia, severe renal stones","Constipation, bloating",1 tablet once or twice daily,Use age-appropriate calcium/vitamin D formulations,No,No
P030,Zinc sulfate,Trace element supplement,"Diarrhea adjunct in children, deficiency",Copper deficiency with prolonged use,"Nausea, metallic taste",20 mg once daily,10-20 mg once daily for diarrhea,No,No
P031,Fluconazole,Azole antifungal,"Candidiasis, cryptococcal suppression as indicated","Severe liver disease, azole allergy","Nausea, abdominal pain, elevated LFTs",150 mg single dose or as indicated,6-12 mg/kg/day,Yes,No
P032,Clotrimazole,Topical imidazole antifungal,Dermatophyte and candidal skin infections,Known hypersensitivity,"Local burning, irritation",Apply twice daily,Apply twice daily,No,No
P033,Nystatin,Polyene antifungal,Oral candidiasis,Known hypersensitivity,"GI upset, oral irritation",5 mL swish and swallow four times daily,1-2 mL four times daily,Yes,No
P034,Ketoconazole,Azole antifungal,Selected fungal infections when alternatives unavailable,"Active liver disease, QT prolongation risk","Nausea, hepatotoxicity, rash",200 mg once daily,Not routinely recommended orally in children,Yes,No
P035,Miconazole,Imidazole antifungal,"Oral thrush, superficial fungal infections","Hypersensitivity, caution with warfarin","Taste disturbance, local irritation",Apply oral gel 4 times daily,Apply small amounts 4 times daily,No,No
P036,Omeprazole,Proton pump inhibitor,"GERD, peptic ulcer disease",Hypersensitivity to PPIs,"Headache, abdominal pain",20 mg once daily,0.7-1.4 mg/kg/day,Yes,No
P037,Oral Rehydration Salts,Oral electrolyte solution,Dehydration due to diarrhea/vomiting,Severe dehydration requiring IV therapy alone,Vomiting if taken too fast,Sip frequently after each loose stool,Age-based rehydration schedule,No,No
P038,Metoclopramide,Prokinetic/antiemetic,"Nausea, vomiting, gastroparesis","GI obstruction, Parkinsonism, epilepsy","Drowsiness, dystonia, diarrhea",10 mg up to three times daily,0.1-0.15 mg/kg up to three times daily,Yes,No
P039,Loperamide,Antidiarrheal,Acute non-bloody diarrhea in adults,"Bloody diarrhea, high fever, children under 2","Constipation, abdominal cramps",4 mg then 2 mg after each stool,Not routinely recommended in young children,No,No
P040,Aluminium hydroxide/Magnesium hydroxide,Antacid,"Dyspepsia, acid reflux symptoms",Severe renal impairment,"Constipation or diarrhea, chalky taste",10-20 mL after meals as needed,5-10 mL as directed,No,No
P041,Salbutamol,Short-acting beta-agonist,"Asthma, bronchospasm","Tachyarrhythmias, hypersensitivity","Tremor, palpitations, headache",1-2 puffs every 4-6 hours as needed,1-2 puffs every 4-6 hours as needed with spacer,Yes,No
P042,Cetirizine,Second-generation antihistamine,"Allergic rhinitis, urticaria",Severe renal impairment (dose adjust),"Drowsiness, dry mouth",10 mg once daily,5 mg once daily,No,No
P043,Prednisolone,Corticosteroid,"Asthma exacerbation, allergic/inflammatory conditions","Untreated systemic infection, live vaccines (high dose)","Increased appetite, mood change, hyperglycemia",20-40 mg daily short course when indicated,1-2 mg/kg/day short course,Yes,No
P044,Bromhexine,Mucolytic,Productive cough with thick secretions,Known hypersensitivity,"GI upset, rash",8 mg three times daily,4 mg three times daily,No,No
P045,Beclometasone,Inhaled corticosteroid,Asthma maintenance therapy,Acute status asthmaticus as sole therapy,"Hoarseness, oral thrush",1-2 puffs twice daily,1 puff twice daily age-appropriate,Yes,No
P046,Tenofovir/Lamivudine/Dolutegravir,Integrase-based ART combination,HIV treatment,Severe hypersensitivity to components,"Headache, insomnia, weight gain",1 tablet once daily,Weight-band dosing with paediatric formulations,Yes,No
P047,Zidovudine/Lamivudine,NRTI ART combination,HIV treatment,Severe anemia/neutropenia for zidovudine-containing regimens,"Nausea, anemia, fatigue",1 tablet twice daily,Weight-band dosing with paediatric formulations,Yes,No
P048,Abacavir/Lamivudine,NRTI ART combination,HIV treatment,"Abacavir hypersensitivity risk, severe liver disease","Rash, nausea, hypersensitivity reaction",1 tablet once daily,Weight-band dosing with paediatric formulations,Yes,No
P049,Efavirenz,NNRTI antiretroviral,HIV treatment,"Severe psychiatric illness (use with caution), liver disease","Dizziness, vivid dreams, rash",600 mg once nightly,Weight-band dosing when indicated,Yes,No
P050,Lopinavir/Ritonavir,Protease inhibitor combination,HIV treatment,"Severe hepatic impairment, significant drug interactions","Diarrhea, nausea, lipid changes",2 tablets twice daily,Paediatric solution/tablet weight-band dosing,Yes,No
