transaction_id,date,product_id,quantity_sold,unit_price,total_amount,staff_id,customer_type
T00236,2026-04-03,P034,1,3.9,3.9,STF003,Prescription
T00237,2026-04-03,P017,1,2.6,2.6,STF001,Prescription
T00238,2026-04-03,P014,1,4.2,4.2,STF005,Insurance
T00239,2026-04-03,P012,1,2.9,2.9,STF005,Prescription
T00240,2026-04-03,P043,1,2.1,2.1,STF004,Insurance
T00241,2026-04-03,P013,1,2.1,2.1,STF001,Insurance
T00242,2026-04-03,P024,1,4.6,4.6,STF005,Prescription
T00243,2026-04-03,P045,1,7.8,7.8,STF003,Prescription
T00244,2026-04-03,P010,1,6.0,6.0,STF002,Walk-in
T00245,2026-04-03,P049,1,6.8,6.8,STF001,Insurance
T00246,2026-04-03,P039,1,2.3,2.3,STF002,Prescription
T00247,2026-04-03,P004,2,3.8,7.6,STF004,Walk-in
T00248,2026-04-03,P012,2,2.9,5.8,STF003,Prescription
T00249,2026-04-04,P031,1,1.6,1.6,STF004,Walk-in
T00250,2026-04-04,P028,1,1.8,1.8,STF001,Walk-in
T00251,2026-04-04,P028,2,1.8,3.6,STF002,Prescription
T00252,2026-04-04,P038,1,2.0,2.0,STF002,Walk-in
T00253,2026-04-04,P040,1,4.0,4.0,STF003,Walk-in
T00254,2026-04-04,P026,2,2.2,4.4,STF001,Walk-in
T00255,2026-04-04,P023,1,2.0,2.0,STF005,Prescription
T00256,2026-04-04,P002,2,5.0,10.0,STF001,Prescription
T00257,2026-04-04,P007,2,6.5,13.0,STF003,Insurance
T00258,2026-04-04,P014,1,4.2,4.2,STF004,Prescription
T00259,2026-04-04,P029,1,3.5,3.5,STF002,Walk-in
T00260,2026-04-04,P017,1,2.6,2.6,STF004,Walk-in
T00261,2026-04-04,P019,1,7.8,7.8,STF002,Prescription
T00262,2026-04-04,P030,1,1.7,1.7,STF002,Walk-in
T00263,2026-04-04,P011,1,3.2,3.2,STF001,Walk-in
T00264,2026-04-04,P004,1,3.8,3.8,STF005,Walk-in
T00265,2026-04-04,P016,1,3.6,3.6,STF002,Prescription
T00266,2026-04-05,P032,1,2.1,2.1,STF001,Insurance
T00267,2026-04-05,P003,1,3.2,3.2,STF002,Insurance
T00268,2026-04-05,P025,1,2.5,2.5,STF001,Prescription
T00269,2026-04-05,P037,4,0.45,1.8,STF004,Walk-in
T00270,2026-04-05,P006,1,5.5,5.5,STF002,Prescription
T00271,2026-04-05,P016,1,3.6,3.6,STF005,Walk-in
T00272,2026-04-05,P042,1,2.4,2.4,STF002,Walk-in
T00273,2026-04-05,P008,2,7.2,14.4,STF002,Walk-in
T00274,2026-04-05,P042,1,2.4,2.4,STF005,Walk-in
T00275,2026-04-05,P016,1,3.6,3.6,STF002,Prescription
T00276,2026-04-05,P037,4,0.45,1.8,STF001,Insurance
T00277,2026-04-05,P044,1,2.9,2.9,STF001,Insurance
T00278,2026-04-06,P048,1,12.0,12.0,STF005,Prescription
T00279,2026-04-06,P043,1,2.1,2.1,STF003,Prescription
T00280,2026-04-06,P031,1,1.6,1.6,STF003,Prescription
T00281,2026-04-06,P011,1,3.2,3.2,STF003,Prescription
T00282,2026-04-06,P030,1,1.7,1.7,STF001,Walk-in
T00283,2026-04-06,P016,1,3.6,3.6,STF004,Walk-in
T00284,2026-04-06,P007,1,6.5,6.5,STF004,Prescription
T00285,2026-04-06,P019,2,7.8,15.6,STF004,Walk-in
T00286,2026-04-06,P017,1,2.6,2.6,STF004,Prescription
T00287,2026-04-06,P001,1,12.0,12.0,STF005,Walk-in
T00288,2026-04-06,P045,1,7.8,7.8,STF001,Walk-in
T00289,2026-04-06,P040,1,4.0,4.0,STF003,Walk-in
T00290,2026-04-06,P012,2,2.9,5.8,STF001,Prescription
T00291,2026-04-06,P031,1,1.6,1.6,STF004,Prescription
T00292,2026-04-06,P016,2,3.6,7.2,STF001,Insurance
T00293,2026-04-06,P036,2,3.4,6.8,STF001,Insurance
T00294,2026-04-06,P016,1,3.6,3.6,STF004,Walk-in
T00295,2026-04-07,P042,1,2.4,2.4,STF002,Insurance
T00296,2026-04-07,P044,1,2.9,2.9,STF002,Prescription
T00297,2026-04-07,P024,1,4.6,4.6,STF003,Prescription
T00298,2026-04-07,P030,1,1.7,1.7,STF003,Walk-in
T00299,2026-04-07,P002,2,5.0,10.0,STF004,Prescription
T00300,2026-04-07,P010,1,6.0,6.0,STF004,Walk-in
T00301,2026-04-07,P042,1,2.4,2.4,STF003,Walk-in
T00302,2026-04-07,P007,1,6.5,6.5,STF003,Walk-in
T00303,2026-04-07,P011,1,3.2,3.2,STF002,Prescription
T00304,2026-04-07,P041,1,6.5,6.5,STF003,Prescription
T00305,2026-04-07,P035,1,3.5,3.5,STF004,Prescription
T00306,2026-04-07,P002,1,5.0,5.0,STF001,Insurance
T00307,2026-04-07,P010,2,6.0,12.0,STF003,Walk-in
T00308,2026-04-07,P041,1,6.5,6.5,STF004,Insurance
T00309,2026-04-07,P041,1,6.5,6.5,STF005,Walk-in
T00310,2026-04-07,P039,2,2.3,4.6,STF003,Insurance
T00311,2026-04-08,P016,2,3.6,7.2,STF004,Prescription
T00312,2026-04-08,P034,1,3.9,3.9,STF005,Insurance
T00313,2026-04-08,P011,1,3.2,3.2,STF001,Prescription
T00314,2026-04-08,P040,1,4.0,4.0,STF001,Walk-in
T00315,2026-04-08,P047,1,9.2,9.2,STF003,Prescription
T00316,2026-04-08,P039,1,2.3,2.3,STF005,Insurance
T00317,2026-04-08,P038,3,2.0,6.0,STF001,Insurance
T00318,2026-04-08,P027,2,3.2,6.4,STF003,Walk-in
T00319,2026-04-08,P037,4,0.45,1.8,STF001,Walk-in
T00320,2026-04-08,P007,1,6.5,6.5,STF001,Walk-in
T00321,2026-04-08,P010,1,6.0,6.0,STF003,Walk-in
T00322,2026-04-08,P027,1,3.2,3.2,STF005,Walk-in
T00323,2026-04-08,P004,1,3.8,3.8,STF005,Insurance
T00324,2026-04-08,P023,1,2.0,2.0,STF003,Prescription
T00325,2026-04-08,P039,1,2.3,2.3,STF002,Walk-in
T00326,2026-04-08,P010,1,6.0,6.0,STF002,Prescription
T00327,2026-04-08,P001,1,12.0,12.0,STF002,Prescription
T00328,2026-04-08,P009,2,4.8,9.6,STF004,Prescription
T00329,2026-04-09,P020,3,8.2,24.6,STF005,Prescription
T00330,2026-04-09,P039,2,2.3,4.6,STF005,Walk-in
T00331,2026-04-09,P006,1,5.5,5.5,STF004,Insurance
T00332,2026-04-09,P044,1,2.9,2.9,STF001,Walk-in
T00333,2026-04-09,P016,1,3.6,3.6,STF004,Prescription
T00334,2026-04-09,P001,1,12.0,12.0,STF001,Prescription
T00335,2026-04-09,P023,1,2.0,2.0,STF005,Prescription
T00336,2026-04-09,P017,2,2.6,5.2,STF004,Prescription
T00337,2026-04-09,P006,1,5.5,5.5,STF005,Prescription
T00338,2026-04-09,P017,1,2.6,2.6,STF005,Prescription
T00339,2026-04-09,P010,1,6.0,6.0,STF003,Walk-in
T00340,2026-04-09,P010,1,6.0,6.0,STF004,Insurance
T00341,2026-04-09,P022,1,3.9,3.9,STF001,Insurance
T00342,2026-04-09,P018,1,4.9,4.9,STF004,Prescription
T00343,2026-04-09,P035,1,3.5,3.5,STF004,Walk-in
T00344,2026-04-09,P010,1,6.0,6.0,STF003,Insurance
T00345,2026-04-10,P045,1,7.8,7.8,STF001,Prescription
T00346,2026-04-10,P009,1,4.8,4.8,STF003,Prescription
T00347,2026-04-10,P008,2,7.2,14.4,STF005,Walk-in
T00348,2026-04-10,P020,2,8.2,16.4,STF005,Insurance
T00349,2026-04-10,P004,3,3.8,11.4,STF002,Prescription
T00350,2026-04-10,P015,1,3.0,3.0,STF002,Prescription
T00351,2026-04-10,P027,1,3.2,3.2,STF002,Walk-in
T00352,2026-04-10,P024,1,4.6,4.6,STF003,Walk-in
T00353,2026-04-10,P012,1,2.9,2.9,STF005,Prescription
T00354,2026-04-10,P030,1,1.7,1.7,STF005,Insurance
T00355,2026-04-10,P001,1,12.0,12.0,STF001,Walk-in
T00356,2026-04-10,P006,2,5.5,11.0,STF002,Walk-in
T00357,2026-04-10,P049,1,6.8,6.8,STF002,Prescription
T00358,2026-04-10,P046,1,8.5,8.5,STF005,Prescription
T00359,2026-04-10,P001,3,12.0,36.0,STF001,Prescription
T00360,2026-04-10,P023,1,2.0,2.0,STF005,Prescription
T00361,2026-04-10,P024,1,4.6,4.6,STF003,Walk-in
T00362,2026-04-10,P023,1,2.0,2.0,STF001,Walk-in
T00363,2026-04-10,P013,1,2.1,2.1,STF001,Prescription
T00364,2026-04-11,P033,1,2.9,2.9,STF001,Prescription
T00365,2026-04-11,P001,2,12.0,24.0,STF002,Insurance
T00366,2026-04-11,P048,1,12.0,12.0,STF001,Insurance
T00367,2026-04-11,P006,2,5.5,11.0,STF004,Prescription
T00368,2026-04-11,P035,1,3.5,3.5,STF002,Walk-in
T00369,2026-04-11,P050,1,24.0,24.0,STF001,Prescription
T00370,2026-04-11,P008,2,7.2,14.4,STF003,Prescription
T00371,2026-04-11,P028,1,1.8,1.8,STF002,Walk-in
T00372,2026-04-11,P001,1,12.0,12.0,STF003,Prescription
T00373,2026-04-11,P004,1,3.8,3.8,STF003,Prescription
T00374,2026-04-11,P010,1,6.0,6.0,STF003,Prescription
T00375,2026-04-11,P011,2,3.2,6.4,STF004,Insurance
T00376,2026-04-11,P043,1,2.1,2.1,STF005,Insurance
T00377,2026-04-11,P033,1,2.9,2.9,STF004,Prescription
T00378,2026-04-11,P044,1,2.9,2.9,STF005,Walk-in
T00379,2026-04-11,P009,2,4.8,9.6,STF001,Walk-in
T00380,2026-04-11,P036,1,3.4,3.4,STF001,Walk-in
T00381,2026-04-12,P024,1,4.6,4.6,STF001,Prescription
T00382,2026-04-12,P016,1,3.6,3.6,STF001,Prescription
T00383,2026-04-12,P024,1,4.6,4.6,STF004,Prescription
T00384,2026-04-12,P016,1,3.6,3.6,STF002,Insurance
T00385,2026-04-12,P001,3,12.0,36.0,STF005,Insurance
T00386,2026-04-12,P038,1,2.0,2.0,STF003,Insurance
T00387,2026-04-12,P041,1,6.5,6.5,STF002,Prescription
T00388,2026-04-12,P012,1,2.9,2.9,STF001,Prescription
T00389,2026-04-12,P043,1,2.1,2.1,STF005,Walk-in
T00390,2026-04-12,P040,2,4.0,8.0,STF003,Prescription
T00391,2026-04-12,P037,6,0.45,2.7,STF001,Insurance
T00392,2026-04-12,P028,1,1.8,1.8,STF003,Prescription
T00393,2026-04-12,P042,1,2.4,2.4,STF003,Walk-in
T00394,2026-04-12,P025,1,2.5,2.5,STF005,Prescription
T00395,2026-04-13,P001,1,12.0,12.0,STF002,Walk-in
T00396,2026-04-13,P035,1,3.5,3.5,STF002,Insurance
T00397,2026-04-13,P031,1,1.6,1.6,STF005,Walk-in
T00398,2026-04-13,P015,1,3.0,3.0,STF003,Prescription
T00399,2026-04-13,P031,1,1.6,1.6,STF004,Walk-in
T00400,2026-04-13,P007,2,6.5,13.0,STF002,Prescription
T00401,2026-04-13,P022,1,3.9,3.9,STF003,Prescription
T00402,2026-04-13,P001,1,12.0,12.0,STF004,Prescription
T00403,2026-04-13,P010,1,6.0,6.0,STF005,Prescription
T00404,2026-04-13,P003,1,3.2,3.2,STF005,Prescription
T00405,2026-04-13,P034,1,3.9,3.9,STF002,Walk-in
T00406,2026-04-13,P019,3,7.8,23.4,STF005,Insurance
T00407,2026-04-13,P037,2,0.45,0.9,STF002,Walk-in
T00408,2026-04-13,P017,1,2.6,2.6,STF001,Walk-in
T00409,2026-04-14,P042,1,2.4,2.4,STF001,Insurance
T00410,2026-04-14,P011,1,3.2,3.2,STF002,Prescription
T00411,2026-04-14,P001,2,12.0,24.0,STF004,Insurance
T00412,2026-04-14,P010,1,6.0,6.0,STF001,Walk-in
T00413,2026-04-14,P039,1,2.3,2.3,STF004,Insurance
T00414,2026-04-14,P048,1,12.0,12.0,STF004,Prescription
T00415,2026-04-14,P030,2,1.7,3.4,STF003,Walk-in
T00416,2026-04-14,P031,1,1.6,1.6,STF002,Walk-in
T00417,2026-04-14,P028,1,1.8,1.8,STF001,Prescription
